,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,enemy,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc,pick_perc,win_perc,leader_perc,banned_perc,opp_pick_perc,opp_win_perc,opp_leader_perc,opp_banned_perc
Okeanos,11,0,11,0,1,0,2,0,3,27.27272727272727,0,0.0,3,100.0,0,0,<--,-->,4,0,4,0,2,0,0,0,3,75.0,0,0.0,0,0.0,0,0,73.33333333333333,100.0,9.090909090909092,18.181818181818183,26.666666666666668,100.0,50.0,0.0
Ganymede,8,0,8,0,4,0,0,0,0,0.0,0,0.0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,53.333333333333336,100.0,50.0,0.0,6.666666666666667,100.0,0.0,0.0
Vigor,3,0,3,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,1,100.0,0,0.0,0,0.0,0,0,20.0,100.0,0.0,33.33333333333333,6.666666666666667,100.0,0.0,0.0
Velajuel,3,0,3,0,0,0,1,0,0,0.0,3,100.0,0,0,3,100.0,<--,-->,4,0,4,0,0,0,1,0,0,0.0,1,25.0,0,0,0,0.0,20.0,100.0,0.0,33.33333333333333,26.666666666666668,100.0,0.0,25.0
Chiwu,4,0,4,0,2,0,1,0,0,0.0,0,0.0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,26.666666666666668,100.0,50.0,25.0,6.666666666666667,100.0,0.0,0.0
Hathor,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,<--,-->,3,0,3,0,1,0,2,0,1,33.33333333333333,0,0.0,0,0.0,0,0,6.666666666666667,100.0,0.0,0.0,20.0,100.0,33.33333333333333,66.66666666666666
Fran,6,0,6,0,0,0,2,0,0,0.0,0,0.0,0,0,0,0,<--,-->,4,0,4,0,2,0,0,0,1,25.0,0,0.0,0,0.0,0,0,40.0,100.0,0.0,33.33333333333333,26.666666666666668,100.0,50.0,0.0
Juno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,5,0,5,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,33.33333333333333,100.0,0.0,20.0
NF_23513,9,0,9,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,<--,-->,3,0,3,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,60.0,100.0,0.0,11.11111111111111,20.0,100.0,0.0,0.0
Rica,1,0,1,0,0,0,0,0,0,0.0,1,100.0,0,0,1,100.0,<--,-->,2,0,2,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,6.666666666666667,100.0,0.0,0.0,13.333333333333334,100.0,0.0,50.0
Daphnis,1,0,1,0,0,0,0,0,0,0.0,1,100.0,0,0,1,100.0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,6.666666666666667,100.0,0.0,0.0,6.666666666666667,100.0,0.0,0.0
TianLang,4,0,4,0,0,0,3,0,0,0.0,1,25.0,0,0,1,100.0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.666666666666668,100.0,0.0,75.0,0.0,,,
NF_21513,2,0,2,0,0,0,0,0,0,0.0,1,50.0,0,0,1,100.0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,13.333333333333334,100.0,0.0,0.0,6.666666666666667,100.0,0.0,0.0
Verdehile,2,0,2,0,0,0,0,0,0,0.0,1,50.0,0,0,1,100.0,<--,-->,3,0,3,0,0,0,2,0,0,0.0,0,0.0,0,0,0,0,13.333333333333334,100.0,0.0,0.0,20.0,100.0,0.0,66.66666666666666
MoLong,1,0,1,0,0,0,0,0,0,0.0,1,100.0,0,0,1,100.0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666666666667,100.0,0.0,0.0,0.0,,,
Jager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
MeiHouWang,1,0,1,0,0,0,0,0,0,0.0,1,100.0,0,0,1,100.0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,6.666666666666667,100.0,0.0,0.0,6.666666666666667,100.0,0.0,0.0
Molly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,3,0,3,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,20.0,100.0,0.0,0.0
Ragdoll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,100.0
Seara,6,0,6,0,4,0,1,0,1,16.666666666666664,0,0.0,1,100.0,0,0,<--,-->,4,0,4,0,3,0,1,0,3,75.0,0,0.0,0,0.0,0,0,40.0,100.0,66.66666666666666,16.666666666666664,26.666666666666668,100.0,75.0,25.0
Giana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,6,0,6,0,0,0,4,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,40.0,100.0,0.0,66.66666666666666
Yeonhong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,3,0,3,0,1,0,0,0,0,0.0,1,33.33333333333333,0,0,0,0.0,0.0,,,,20.0,100.0,33.33333333333333,0.0
NF_24011,8,0,8,0,3,0,2,0,0,0.0,0,0.0,0,0,0,0,<--,-->,2,0,2,0,2,0,0,0,0,0.0,0,0.0,0,0,0,0,53.333333333333336,100.0,37.5,25.0,13.333333333333334,100.0,100.0,0.0
Anavel,1,0,1,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,6.666666666666667,100.0,0.0,100.0,6.666666666666667,100.0,0.0,0.0
ShiHou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Vanessa,1,0,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,<--,-->,1,0,1,0,1,0,0,0,1,100.0,0,0.0,0,0.0,0,0,6.666666666666667,100.0,100.0,0.0,6.666666666666667,100.0,100.0,0.0
NF_24012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,1,100.0,0,0,0,0.0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Praha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,2,0,2,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,13.333333333333334,100.0,0.0,50.0
NF_23511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
XingZhe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,1,0,0,0,0,0.0,1,100.0,0,0,0,0.0,0.0,,,,6.666666666666667,100.0,100.0,0.0
Leo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,100.0
Cheongpung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,3,0,3,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,20.0,100.0,0.0,0.0
Ethna,1,0,1,0,0,0,0,0,0,0.0,1,100.0,0,0,1,100.0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666666666667,100.0,0.0,0.0,0.0,,,
Leona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Nicki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Asima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,100.0,0.0
Triana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
