,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,enemy,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc,pick_perc,win_perc,leader_perc,banned_perc,opp_pick_perc,opp_win_perc,opp_leader_perc,opp_banned_perc
Seara,2,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,<--,-->,3,0,3,0,2,0,0,0,2,66.66666666666666,0,0.0,0,0.0,0,0,13.333333333333334,100.0,0.0,0.0,20.0,100.0,66.66666666666666,0.0
TianLang,4,0,4,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.666666666666668,100.0,0.0,0.0,0.0,,,
Akroma,4,0,4,0,2,0,0,0,0,0.0,1,25.0,0,0,1,100.0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.666666666666668,100.0,50.0,0.0,0.0,,,
Tetra,1,0,1,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,<--,-->,3,0,3,0,0,0,2,0,0,0.0,0,0.0,0,0,0,0,6.666666666666667,100.0,0.0,100.0,20.0,100.0,0.0,66.66666666666666
Ragdoll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,3,0,3,0,0,0,0,0,1,33.33333333333333,0,0.0,0,0.0,0,0,0.0,,,,20.0,100.0,0.0,0.0
Jager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,2,0,2,0,0,0,1,0,0,0.0,1,50.0,0,0,0,0.0,0.0,,,,13.333333333333334,100.0,0.0,50.0
Okeanos,1,0,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,<--,-->,7,0,7,0,2,0,2,0,1,14.285714285714285,0,0.0,0,0.0,0,0,6.666666666666667,100.0,100.0,0.0,46.666666666666664,100.0,28.57142857142857,28.57142857142857
Bastet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,2,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,13.333333333333334,100.0,0.0,0.0
Chiwu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,2,0,2,0,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,13.333333333333334,100.0,100.0,0.0
Poseidon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Shimitae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,3,0,3,0,1,0,2,0,2,66.66666666666666,0,0.0,0,0.0,0,0,0.0,,,,20.0,100.0,33.33333333333333,66.66666666666666
Ganymede,3,0,3,0,1,0,0,0,0,0.0,1,33.33333333333333,0,0,1,100.0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,100.0,33.33333333333333,0.0,0.0,,,
NF_13231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Miho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,3,0,3,0,0,0,0,0,0,0.0,1,33.33333333333333,0,0,0,0.0,0.0,,,,20.0,100.0,0.0,0.0
Leona,2,0,2,0,0,0,1,0,0,0.0,1,50.0,0,0,1,100.0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.333333333333334,100.0,0.0,50.0,0.0,,,
Vigor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,2,0,2,0,0,0,0,0,0,0.0,1,50.0,0,0,0,0.0,0.0,,,,13.333333333333334,100.0,0.0,0.0
Artamiel,4,0,4,0,4,0,0,0,0,0.0,1,25.0,0,0,1,100.0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.666666666666668,100.0,100.0,0.0,0.0,,,
NF_22213,3,0,3,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,100.0,0.0,33.33333333333333,0.0,,,
Anavel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Leo,2,0,2,0,0,0,2,0,0,0.0,0,0.0,0,0,0,0,<--,-->,1,0,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,13.333333333333334,100.0,0.0,100.0,6.666666666666667,100.0,100.0,0.0
Laika,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,1,100.0,0,0,0,0.0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Fran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,2,0,2,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,13.333333333333334,100.0,0.0,50.0
Velajuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,2,0,2,0,1,0,1,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,13.333333333333334,100.0,50.0,50.0
QitianDasheng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,100.0,0.0
Bering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,100.0
Woonsa,1,0,1,0,0,0,0,0,0,0.0,1,100.0,0,0,1,100.0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666666666667,100.0,0.0,0.0,0.0,,,
Verdehile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,2,0,2,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,13.333333333333334,100.0,0.0,50.0
Triana,2,0,2,0,0,0,0,0,0,0.0,2,100.0,0,0,2,100.0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,13.333333333333334,100.0,0.0,0.0,6.666666666666667,100.0,0.0,0.0
Kahli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,2,0,2,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,13.333333333333334,100.0,0.0,50.0
Gemini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,2,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,13.333333333333334,100.0,0.0,0.0
NF_24414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,2,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,13.333333333333334,100.0,0.0,0.0
Hathor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,2,0,2,0,0,0,1,0,1,50.0,0,0.0,0,0.0,0,0,0.0,,,,13.333333333333334,100.0,0.0,50.0
Sian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Juno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,1,100.0,0,0,0,0.0,0.0,,,,6.666666666666667,100.0,0.0,0.0
